Library,Temperature,Group,Time_grouped,Time_days,Collected,Concentration,Mass,Norm_Conc,RIN,Yield,TotalReads,SumReads,aspiviridae,botourmiaviridae,durnavirales,leviviricetes,mitoviridae,narnaviridae,nodamuvirales,other,permutotetraviridae,picornavirales,tolivirales,astroviridae,martellivirales,bunyavirales,qinviridae,yueviridae,tymovirales,durnalike,ghabrivirales,birnaviridae,reovirales,amalgaviridae
C0A,2-8°C,2-8°C,1 day,1,September,62.4,1.7075,36.54465593,8.1,16.43,54395434,239953.23,7299.3,10602.05,2397,149395.83,11782.55,9120.14,40422.29,1466.06,175,5582.01,1711,0,0,0,0,0,0,0,0,0,0,0
C0B,2-8°C,2-8°C,1 day,1,September,57.9,1.6738,34.59194647,9.3,14.57,48253449,503083.16,47,37617.97,21667.03,195521.83,26093.13,11131.75,148987.21,22612.31,23213.83,14406.31,1591.79,64,129,0,0,0,0,0,0,0,0,0
C5A,2-8°C,2-8°C,5 days,5,September,45.1,1.8874,23.89530571,9.1,14.51,48031354,234400.8,1892,2460.52,2270,169694.33,9071.11,5618.96,3469,11783.12,0,4419,22755.57,967.19,0,0,0,0,0,0,0,0,0,0
C5B,2-8°C,2-8°C,5 days,5,September,69.8,1.9467,35.85555042,9.3,13.02,43113215,194952.8,0,1819.39,6334.93,122551.69,4864.29,7659.36,31188.15,12719.99,0,7196,619,0,0,0,0,0,0,0,0,0,0,0
C10A,2-8°C,2-8°C,10 days,10,September,45.2,1.7098,26.43584045,9.2,16.39,54286146,248112.87,1754,13521.44,4155,194459.56,10608,9525.87,8080,1050,0,3376,809,281,0,493,0,0,0,0,0,0,0,0
C10B,2-8°C,2-8°C,10 days,10,September,62.1,1.8198,34.12462908,9.3,15.81,52338401,382121.96,0,5309.58,57947.34,206125.11,5704.07,10433.44,61337.18,16208.42,130,16096.83,1727.99,1068,0,0,34,0,0,0,0,0,0,0
C15A,2-8°C,2-8°C,15 days,15,September,53.4,1.754,30.44469783,9,18.83,62345438,319486.52,1941,85662.94,6092.28,161333.71,6920.44,7431.04,13681,4956.83,410,4158,1117,523,0,0,0,25259.28,0,0,0,0,0,0
C15B,2-8°C,2-8°C,15 days,15,September,75.2,1.7584,42.76615105,9.3,18.38,60845876,203455.28,0,15684.1,13636.9,94749.34,17228.45,13153.83,22015.91,18497.82,0,6356,2132.93,0,0,0,0,0,0,0,0,0,0,0
T0A,-30°C,-30°C,1 day,1,September,63.4,1.6524,38.36843379,9.1,16.67,55197004,512843.8,0,8317,16043.16,124111.5,18240.49,12692.8,313411.74,9672.93,0,8804.18,1123,252,0,102,0,0,73,0,0,0,0,0
T0B,-30°C,-30°C,1 day,1,September,28.5,1.76,16.19318182,9.2,17.23,57046227,324176.24,0,3710.25,17423.98,201616.13,13016.68,9713.84,64627.57,2986.57,22,9113,1294,0,478.22,0,0,0,0,0,0,0,174,0
T5A,-30°C,-30°C,5 days,5,September,75.2,1.9124,39.32231751,9.3,16.36,54178777,309682.81,0,10474.67,69084.89,151606.25,10591.93,10171.11,8380,30725.58,0,5111,13395.38,110,0,0,0,0,0,32,0,0,0,0
T5B,-30°C,-30°C,5 days,5,September,9.8,1.9274,5.084569887,0,16.12,53383628,372500.11,0,5084.21,27950.58,199170.04,11944,9382.56,82390.66,26018.73,0,5776,1571.33,0,2233,0,0,0,0,0,58,0,921,0
T10A,-30°C,-30°C,10 days,10,September,72.5,1.6576,43.73793436,9.4,14.86,49203785,354548.5,42,8791.25,19812.07,166319.05,13735.11,19153.91,74211.06,22601.96,39,24794.38,988.71,0,3957,0,0,0,0,0,0,0,103,0
T10B,-30°C,-30°C,10 days,10,September,67.9,1.6741,40.55910639,9.4,17.04,56408713,157824.45,73,11329.15,8669.73,78091.6,24681.59,5669.14,5116,14198,0,4493,5339.24,0,0,0,0,79,0,0,0,0,0,85
T15A,-30°C,-30°C,15 days,15,September,63.3,1.7409,36.36050319,9.2,17.44,57759105,263023.13,912,6110.03,11332.65,110649.24,11149.68,8748.74,7787,78973.49,0,10342.22,16619.08,250,0,0,0,0,101,0,48,0,0,0
T15B,-30°C,-30°C,15 days,15,September,58,1.7545,33.05785124,9.3,16.1,53307120,461566.87,0,7116.79,35842.35,292491.85,4263.11,18446.25,72764.95,14246.28,0,10980.01,3003.86,139,568,0,0,0,0,0,0,0,1704.42,0
E0A,-80°C,-80°C,1 day,1,September,28.6,1.7389,16.44717925,9.3,16.26,55103232,312059.3,0,6519.12,27237.07,157543.5,28240.29,7155.95,7357.03,71827.34,0,4988,1136,0,0,55,0,0,0,0,0,0,0,0
E0B,-80°C,-80°C,1 day,1,September,71.6,1.8099,39.5601967,9.4,18.07,48722310,321691.27,0,15219.52,14015.15,219437.22,34768.94,8385.19,18690.62,1866,0,5822,3357,0,129.63,0,0,0,0,0,0,0,0,0
E5A,-80°C,-80°C,5 days,5,September,29.4,1.8984,15.48672566,9.3,16.24,59847071,396442.62,0,15085.77,9953.87,318531.16,17431.48,4093.55,14491.79,12674,0,2479,1655,47,0,0,0,0,0,0,0,0,0,0
E5B,-80°C,-80°C,5 days,5,September,32.5,1.9263,16.87172299,9.1,16.36,53601268,454763.64,0,33424.16,35315,317040.83,24236.81,6483.9,26510.07,7416.87,0,4177,159,0,0,0,0,0,0,0,0,0,0,0
E10A,-80°C,-80°C,10 days,10,September,54.5,1.6601,32.82934763,9,14.71,53763085,762361.89,0,178999.64,43153.91,267892.18,6590.81,13752.59,165848.34,68383.97,0,14407.45,1969,127,1237,0,0,0,0,0,0,0,0,0
E10B,-80°C,-80°C,10 days,10,September,56.8,1.7406,32.6324256,9.2,15.22,50408847,237972.94,0,11718.31,11775.84,146642.67,29779.81,6579,8710.38,2941,1102,16296.93,2125,112,0,68,0,0,122,0,0,0,0,0
E15A,-80°C,-80°C,15 days,15,September,38.1,1.7495,21.77765076,9.1,16.51,54176348,846945.69,0,4614.79,31243.6,769080.78,23538.68,4370.85,4593,1915,0,5397,1747.99,152,0,43,0,0,0,249,0,0,0,0
E15B,-80°C,-80°C,15 days,15,September,66.5,1.8543,35.86258966,9.4,16.19,54684236,359486.38,0,4074.91,29161.37,157690.14,52614.2,7652.62,67078.08,32044.31,0,7548.75,1008,73,541,0,0,0,0,0,0,0,0,0
L2A,-80°C,-80°C (long),15 days,15,April,18,1.7103,10.52446939,8.4,35.71,109249112,279458.61,0,40088.05,3328,192043.24,22649.84,4299.01,0,0,0,437,9552.47,0,4481,286,0,0,0,2141,153,0,0,0
L2B,-80°C,-80°C (long),15 days,15,April,15.9,1.8494,8.597382935,8.6,38.92,128882354,187523.7,0,14993.9,4786.8,99225.76,44395.32,3989,0,114,0,1258,6343,0,658,102,0,35,0,8158.92,2474,471,519,0
L4A,-80°C,-80°C (long),4 weeks,29,April,16,1.8382,8.70416712,8.8,32.67,108195023,153406.41,0,32205.59,5619.13,63011.87,35733.11,4798,0,364,0,947,459,80,916.67,606,0,26,0,4972.04,3626,0,42,0
L4B,-80°C,-80°C (long),4 weeks,29,April,18.8,1.8361,10.23909373,8.2,47.32,156693352,240005.92,178,13341.42,5842.54,156695.02,46070.29,2760,0,446,0,2002,49,0,1979.65,306,0,0,0,5772,3276,819,469,0
L8A,-80°C,-80°C (long),8 weeks,57,April,4.8,1.8795,2.55387071,9,36.65,121356917,161095.28,1242,3307,11294,90378.13,18004,10279,0,581,1042,6353.17,1055,170,1967,0,0,0,0,2133.98,10631,1268,1390,0
L8B,-80°C,-80°C (long),8 weeks,57,April,9.2,1.7229,5.339834001,8.7,47.52,157361027,120757.44,0,6686.4,2110,45534.26,47751.78,3172,0,336,0,2601,1349,0,1111,0,0,0,0,7831,2275,0,0,0
L12A,-80°C,-80°C (long),12 weeks,85,April,19.1,1.9936,9.580658106,8.2,48.69,161221243,147798.66,94,12189.02,3845.96,73187.36,43370.21,5624.12,0,76,0,860,776.57,0,215,583,0,215,0,3876.42,2886,0,0,0
L12B,-80°C,-80°C (long),12 weeks,85,April,17,1.9891,8.546578855,8.2,44.18,146336079,304331.35,0,8584.33,2275.03,202393.47,67242.5,9889,0,811,0,3894,0,57,1437.95,905,0,206,0,4482.07,827,1327,0,0